text@rml1967f	@rml1967f	328.703	329.774	а там ты его видишь всег... /
text@rml1967f	@rml1967f	330.335	332.565	а потом / ничего нельзя / м / э / вы... выре... //
text@rml1967f	@rml1967f	336.596	339.529	ничего нельзя вырезать // надо всё... //
text@rml1967f	@rml1967f	347.637	347.952	да //
text@rml1967f	@rml1967f	349.213	351.158	и вообще вырезать эту сцену к чёртовой матери //
text@rml1967f	@rml1967f	360.898	363.446	ну вот я вызываю всяких важных женщин МХАТа... //
text@rml1967f	@rml1967f	363.94	368.252	одна / которая работала с / а /  Олегом Ефремовым /
text@rml1967f	@rml1967f	369.811	374.197	там у нас есть / ангел / э / театра /  Ольга Семёновна Хенкина /
text@rml1967f	@rml1967f	374.776	378.723	все мне говоря... / вот / вот / а это / э / такие вот это лакмусовые бумажки //
text@rml1967f	@rml1967f	379.826	380.517	Земфира! //
text@rml1967f	@rml1967f	381.805	382.912	но она очень критична //
text@rml1967f	@rml1967f	385.735	385.948	да //
text@rml1967f	@rml1967f	386.988	391.747	она сказала / надо тебе сократиться отс... / отсюда / отсюда / отсюда // это кошмар! //
text@rml1967f	@rml1967f	391.881	396.588	театр мне говорит вы должны туда восстановиться / а она говорит / нет // давай тебя бу... /
text@rml1967f	@rml1967f	397.81	400.996	тебя слишком много / тогда ты / и / не даёшь играть другим артистам //
text@rml1967f	@rml1967f	401.841	402.657	представляете? //
text@rml1967f	@rml1967f	405.075	405.577	нет / ну я... /
text@rml1967f	@rml1967f	410.092	413.616	я дала сыграть другим артистам / скажу вам честно // и пошла на поводу /
text@rml1967f	@rml1967f	413.877	415.26	конечно у своего соратника //
text@rml1967f	@rml1967f	416.632	417.442	а как иначе? //
text@iau1978m	@iau1978m	0.15	5.45	здавствуйте / Рената как эта чашка подходит к вашему строгому костюму //
text@iau1978m	@iau1978m	8.775	11.4	вот кстати об этом / э / знаете ли хотелось бы с вами пог... /
text@iau1978m	@iau1978m	11.96	12.806	не какая-то там а... /
text@iau1978m	@iau1978m	13.432	14.272	актрисочка /
text@iau1978m	@iau1978m	14.482	16.87	какая-то // вот я бы хотел с вами об этом поговорить Рената //
text@iau1978m	@iau1978m	17.625	24.422	это знаете ли не б... так вот вы эту проффе... вы на последнее оставляли вот кбгх как грится вы всё уже попробовали и вот / режиссёр в театре //
text@iau1978m	@iau1978m	24.757	25.287	скажите... //
text@iau1978m	@iau1978m	30.647	31.051	м-хм //
text@iau1978m	@iau1978m	38.637	39.39	выстрелить! //
text@iau1978m	@iau1978m	40.082	40.672	выстрелить //
text@iau1978m	@iau1978m	40.956	44.01	а можно как вы? сразу взлететь и летать как комета //
text@iau1978m	@iau1978m	45.411	46.264	расскажите мне пожалуйста //
text@iau1978m	@iau1978m	46.49	49.723	а вот кстати / по поводу не сразу / у... у меня ощущение что сразу
text@iau1978m	@iau1978m	50.023	50.794	что сразу
